Country,Latitude,Longitude
Mexico,23.634501,-102.552784
Guatemala,15.783470999999999,-90.23075899999999
Costa Rica,9.748917,-83.753428
Panama,8.537981,-80.782127
Nicaragua,12.865416,-85.207229
El Salvador,13.794185,-88.89653
Colombia,4.570868,-74.297333
Brazil,-14.235004,-51.92528
Peru,-9.189967,-75.015152
Bolivia,-16.290154,-63.588653
Jamaica,18.109581,-77.297508
Hawaii,19.896766,-155.582782
Puerto Rico,18.220833,-66.590149
Haiti,18.971187,-72.28521500000001
Cuba,21.521757,-77.78116700000001
St Helena ,-15.965010000000001,-5.708924
Galapagos,-0.9537690000000001,-90.965602
Australia,-25.274398,133.775136
Kenya,-0.023559,37.906193
Ethiopia,9.145,40.489672999999996
Tanzania,-6.369028,34.888822
Rwanda,-1.940278,29.873888
Zimbabwe,-19.015438,29.154857
Yemen,15.552726999999999,48.516388
Burundi,-3.3730559999999996,29.918885999999997
Uganda,1.373333,32.290275
Indonesia,-0.789275,113.921327
Sulawesi Toraja ,-5.142603,119.490852
Papua New Guinea,-6.314993,143.95555
Bali,-8.409517999999998,115.18891599999999
India,20.593684,78.96288
