Holding Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Inventories of Green Coffee,"15,619","13,200","16,843","14,218","12,667","7,905","6,494","6,896","6,601","8,601","12,187","12,678","14,105","13,707","13,259","12,387","13,235","13,696","13,157","12,107","11,273","11,821","12,541","13,790","14,638","15,640","16,747","16,541","15,503"
European Union,"7,692","5,408","5,662","4,703","6,703","4,765","3,920","4,309","4,021","4,561","4,899","5,545","6,362","6,132","6,047","5,392","5,654","5,928","5,862","5,568","5,267","4,995","5,446","5,492","5,849","6,277","6,918","6,397","6,306"
   Austria,333,333,367,333,283,274,246,231,210,188,162,142,135,131,130,129,126,128,129,138,141,111,97,92,96,96,90,80,80
   Cyprus,10,12,10,8,13,13,12,6,9,9,10,12,13,13,6,7,8,8,8,5,5,6,4,7,12,6,2,3,5
   Denmark,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
   Finland,176,223,213,188,282,220,140,181,162,177,101,90,77,94,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
   France,573,562,537,389,481,301,266,317,350,306,351,584,719,650,621,520,476,368,504,483,427,414,446,438,499,507,572,475,464
   Germany,"4,000","1,600","2,500","2,000","3,900","2,300","1,600","1,900","1,600","2,200","2,500","2,850","3,580","3,290","3,190","2,885","3,101","3,341","3,211","2,911","2,680","2,462","2,859","2,636","3,120","3,519","3,991","3,601","3,518"
   Ireland,,,,,,,,,,,,,6,7,10,8,6,11,8,7,4,6,7,6,6,4,4,4,3
   Italy,215,189,187,228,222,217,223,227,234,235,245,253,253,265,269,278,294,314,317,317,326,329,346,352,371,370,403,396,396
   Netherlands,"1,752","1,752","1,048",707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707,707
   Portugal,68,143,121,220,159,86,115,131,101,82,124,106,111,178,170,150,130,120,110,100,101,90,110,120,100,129,129,129,129
   Spain,200,250,333,250,267,284,303,323,344,367,391,417,444,474,505,401,462,618,555,570,570,570,570,837,640,637,734,723,715
   Sweden,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
   United Kingdom,189,168,170,204,213,187,132,110,128,114,132,208,141,148,180,48,86,54,54,72,47,41,41,39,40,43,26,20,29
Japan,"1,500","1,167","1,333","1,250","1,467",833,983,917,883,"1,150","1,400","1,383","1,717","1,733","1,783","2,000","2,317","2,033","1,850","1,683","1,755","2,204","2,027","2,881","2,934","3,185","3,229","3,021","2,603"
Norway,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
Switzerland,321,351,302,327,286,193,140,118,165,139,171,228,182,228,230,204,154,145,91,161,154,203,209,206,206,217,219,368,338
USA,"5,982","6,150","9,422","7,814","4,087","1,990","1,327","1,428","1,408","2,627","5,593","5,398","5,720","5,490","5,075","4,667","4,987","5,466","5,230","4,570","3,974","4,295","4,736","5,087","5,525","5,836","6,256","6,632","6,133"
Unspecified EU stocks,"2,433","2,758","2,485","1,920","2,122","1,381","1,222","1,551","1,603","1,926","3,917","5,968","5,988","6,416","6,991","7,671","5,615","7,088","7,846","9,807","6,666","6,828","6,112","5,336","7,501","7,464","6,954","7,035","8,117"
Total,"18,052","15,957","19,328","16,137","14,789","9,287","7,716","8,447","8,204","10,527","16,104","18,646","20,093","20,123","20,250","20,058","18,850","20,784","21,003","21,914","17,939","18,649","18,654","19,126","22,139","23,104","23,701","23,576","23,620"
